year,bunker_type,bunker_sales
2005,Marine Fuel Oil 500 cst +,2613.523
2005,Low-Sulfur Marine Gas Oil,0
2005,Low-Sulfur Fuel Oil 100 cst,0
2005,Low-Sulfur Fuel Oil 180 cst,0
2005,Low-Sulfur Fuel Oil 380 cst,0
2005,Low-Sulfur Fuel Oil 500 cst,0
2005,Ultra Low-Sulfur Fuel Oil,0
2005,Others,386.758
2006,Marine Gas Oil,1514.938
2006,Marine Diesel Oil,50.096
2006,Marine Fuel Oil 180 cst,3002.506
2006,Marine Fuel Oil 380 cst,20359.809
2006,Marine Fuel Oil 500 cst +,3041.943
2006,Low-Sulfur Marine Gas Oil,0
2006,Low-Sulfur Fuel Oil 100 cst,0
2006,Low-Sulfur Fuel Oil 180 cst,0
2006,Low-Sulfur Fuel Oil 380 cst,0
2006,Low-Sulfur Fuel Oil 500 cst,0
2006,Ultra Low-Sulfur Fuel Oil,0
2006,Others,409.811
2007,Marine Gas Oil,1502.028
2007,Marine Diesel Oil,21.056
2007,Marine Fuel Oil 180 cst,2964.932
2007,Marine Fuel Oil 380 cst,22722.013
2007,Marine Fuel Oil 500 cst +,3983.336
2007,Low-Sulfur Marine Gas Oil,0
2007,Low-Sulfur Fuel Oil 100 cst,0
2007,Low-Sulfur Fuel Oil 180 cst,0
2007,Low-Sulfur Fuel Oil 380 cst,0
2007,Low-Sulfur Fuel Oil 500 cst,0
2007,Ultra Low-Sulfur Fuel Oil,0
2007,Others,352.636
2008,Marine Gas Oil,1537.506
2008,Marine Diesel Oil,11.71
2008,Marine Fuel Oil 180 cst,2695.952
2008,Marine Fuel Oil 380 cst,25941.812
2008,Marine Fuel Oil 500 cst +,4383.732
2008,Low-Sulfur Marine Gas Oil,0
2008,Low-Sulfur Fuel Oil 100 cst,0
2008,Low-Sulfur Fuel Oil 180 cst,0
2008,Low-Sulfur Fuel Oil 380 cst,0
2008,Low-Sulfur Fuel Oil 500 cst,0
2008,Ultra Low-Sulfur Fuel Oil,0
2008,Others,365.69
2009,Marine Gas Oil,1583.192
2009,Marine Diesel Oil,11.736
2009,Marine Fuel Oil 180 cst,2205.88
2009,Marine Fuel Oil 380 cst,28425.492
2009,Marine Fuel Oil 500 cst +,3689.772
2009,Low-Sulfur Marine Gas Oil,0
2009,Low-Sulfur Fuel Oil 100 cst,0
2009,Low-Sulfur Fuel Oil 180 cst,0
2009,Low-Sulfur Fuel Oil 380 cst,0
2009,Low-Sulfur Fuel Oil 500 cst,0
2009,Ultra Low-Sulfur Fuel Oil,0
2009,Others,470.671
2010,Marine Gas Oil,1596.598
2010,Marine Diesel Oil,8.505
2010,Marine Fuel Oil 180 cst,2271.935
2010,Marine Fuel Oil 380 cst,31451.475
2010,Marine Fuel Oil 500 cst +,5287.662
2010,Low-Sulfur Marine Gas Oil,0
2010,Low-Sulfur Fuel Oil 100 cst,0
2010,Low-Sulfur Fuel Oil 180 cst,0
2010,Low-Sulfur Fuel Oil 380 cst,0
2010,Low-Sulfur Fuel Oil 500 cst,0
2010,Ultra Low-Sulfur Fuel Oil,0
2010,Others,236.798
2011,Marine Gas Oil,1569.574
2011,Marine Diesel Oil,6.642
2011,Marine Fuel Oil 180 cst,1641.036
2011,Marine Fuel Oil 380 cst,34122.098
2011,Marine Fuel Oil 500 cst +,5577.672
2011,Low-Sulfur Marine Gas Oil,0
2011,Low-Sulfur Fuel Oil 100 cst,0
2011,Low-Sulfur Fuel Oil 180 cst,0
2011,Low-Sulfur Fuel Oil 380 cst,0
2011,Low-Sulfur Fuel Oil 500 cst,0
2011,Ultra Low-Sulfur Fuel Oil,0
2011,Others,236.607
2012,Marine Gas Oil,1454.22
2012,Marine Diesel Oil,2.153
2012,Marine Fuel Oil 180 cst,1247.006
2012,Marine Fuel Oil 380 cst,33685.535
2012,Marine Fuel Oil 500 cst +,6225.404
2012,Low-Sulfur Marine Gas Oil,0
2012,Low-Sulfur Fuel Oil 100 cst,0
2012,Low-Sulfur Fuel Oil 180 cst,0
2012,Low-Sulfur Fuel Oil 380 cst,0
2012,Low-Sulfur Fuel Oil 500 cst,0
2012,Ultra Low-Sulfur Fuel Oil,0
2012,Others,71.071
2013,Marine Gas Oil,1182.925
2013,Marine Diesel Oil,2.033
2013,Marine Fuel Oil 180 cst,950.205
2013,Marine Fuel Oil 380 cst,32070.224
2013,Marine Fuel Oil 500 cst +,7661.475
2013,Low-Sulfur Marine Gas Oil,190.902
2013,Low-Sulfur Fuel Oil 100 cst,0
2013,Low-Sulfur Fuel Oil 180 cst,1.835
2013,Low-Sulfur Fuel Oil 380 cst,541.142
2013,Low-Sulfur Fuel Oil 500 cst,14.963
2013,Ultra Low-Sulfur Fuel Oil,0
2013,Others,66.478
2014,Marine Gas Oil,1022.296
2014,Marine Diesel Oil,1.897
2014,Marine Fuel Oil 180 cst,747.349
2014,Marine Fuel Oil 380 cst,31821.117
2014,Marine Fuel Oil 500 cst +,8097.278
2014,Low-Sulfur Marine Gas Oil,287.943
2014,Low-Sulfur Fuel Oil 100 cst,0
2014,Low-Sulfur Fuel Oil 180 cst,1.976
2014,Low-Sulfur Fuel Oil 380 cst,412.298
2014,Low-Sulfur Fuel Oil 500 cst,4.85
2014,Ultra Low-Sulfur Fuel Oil,0
2014,Others,19.748
2015,Marine Gas Oil,936.17
2015,Marine Diesel Oil,1.507
2015,Marine Fuel Oil 180 cst,673.423
2015,Marine Fuel Oil 380 cst,34106.785
2015,Marine Fuel Oil 500 cst +,8599.666
2015,Low-Sulfur Marine Gas Oil,784.623
2015,Low-Sulfur Fuel Oil 100 cst,0
2015,Low-Sulfur Fuel Oil 180 cst,0.48
2015,Low-Sulfur Fuel Oil 380 cst,23.722
2015,Low-Sulfur Fuel Oil 500 cst,0
2015,Ultra Low-Sulfur Fuel Oil,0
2015,Others,29.163
2016,Marine Gas Oil,853.44
2016,Marine Diesel Oil,0.462
2016,Marine Fuel Oil 180 cst,562.27
2016,Marine Fuel Oil 380 cst,36107.906
2016,Marine Fuel Oil 500 cst +,9801.144
2016,Low-Sulfur Marine Gas Oil,1136.744
2016,Low-Sulfur Fuel Oil 100 cst,0
2016,Low-Sulfur Fuel Oil 180 cst,0.711
2016,Low-Sulfur Fuel Oil 380 cst,126.921
2016,Low-Sulfur Fuel Oil 500 cst,0
2016,Ultra Low-Sulfur Fuel Oil,0
2016,Others,24.897
2017,Marine Gas Oil,736.092
2017,Marine Diesel Oil,0.068
2017,Marine Fuel Oil 180 cst,290.978
2017,Marine Fuel Oil 380 cst,37814.085
2017,Marine Fuel Oil 500 cst +,10053.22
2017,Low-Sulfur Marine Gas Oil,1285.083
2017,Low-Sulfur Fuel Oil 100 cst,0
2017,Low-Sulfur Fuel Oil 180 cst,40.082
2017,Low-Sulfur Fuel Oil 380 cst,103.404
2017,Low-Sulfur Fuel Oil 500 cst,2.2
2017,Ultra Low-Sulfur Fuel Oil,0
2017,Others,311.184
2018,Marine Gas Oil,746.828
2018,Marine Diesel Oil,0
2018,Marine Fuel Oil 180 cst,329.84
2018,Marine Fuel Oil 380 cst,35722.806
2018,Marine Fuel Oil 500 cst +,10619.169
2018,Low-Sulfur Marine Gas Oil,1538.988
2018,Low-Sulfur Fuel Oil 100 cst,0
2018,Low-Sulfur Fuel Oil 180 cst,256.643
2018,Low-Sulfur Fuel Oil 380 cst,51.856
2018,Low-Sulfur Fuel Oil 500 cst,23.477
2018,Ultra Low-Sulfur Fuel Oil,0
2018,Others,509.144
2019,Marine Gas Oil,792.042
2019,Marine Diesel Oil,0.76
2019,Marine Fuel Oil 180 cst,266.772
2019,Marine Fuel Oil 380 cst,29942.321
2019,Marine Fuel Oil 500 cst +,7127.067
2019,Low-Sulfur Marine Gas Oil,3089.884
2019,Low-Sulfur Fuel Oil 100 cst,0
2019,Low-Sulfur Fuel Oil 180 cst,1216.157
2019,Low-Sulfur Fuel Oil 380 cst,4262.676
2019,Low-Sulfur Fuel Oil 500 cst,0.289
2019,Ultra Low-Sulfur Fuel Oil,0
2019,Others,765.559
2020,Marine Gas Oil,632.947675
2020,Marine Diesel Oil,0.199
2020,Marine Fuel Oil 180 cst,0.699
2020,Marine Fuel Oil 380 cst,9650.643079
2020,Marine Fuel Oil 500 cst +,942.620613
2020,Low-Sulfur Marine Gas Oil,4062.170124
2020,Low-Sulfur Fuel Oil 100 cst,7641.827011
